pk,jsondata,id,name,description,markup_description,latitude,longitude,version
1,{},psc,Proto-Siouan-Catawba,,,,,1
2,{},psi,Proto-Siouan,,,,,1
3,{},pca,Proto-Catawba,,,,,1
4,{},pch,Proto-Crow-Hidatsa,,,,,1
5,{},pma,Pre-Mandan,,,,,1
6,{},pmv,Proto-Mississipi-Valley,,,,,1
7,{},pse,Proto-Southeastern,,,,,1
8,{},ca,Catawba,,,34.9685,-80.8857,1
9,{},wo,Woccon,,,,,1
10,{},cr,Crow,,,45.368,-107.874,1
11,{},hi,Hidatsa,,,47.7534,-102.528,1
12,{},ma,Mandan,,,47.6631,-102.376,1
13,{},pda,Proto-Dakota,,,,,1
14,{},pwc,Proto-Hoocąk-Chiwere,,,,,1
15,{},pdh,Proto-Dhegiha,,,,,1
16,{},pbo,Proto-Biloxi-Ofo,,,,,1
17,{},pts,Proto-Tutelo-Saponi,,,,,1
18,{},la,Lakota,,,46.3699,-103.95,1
19,{},da,Dakota,,,47.6857,-102.12,1
20,{},as,Assiniboine,,,49.2923,-106.068,1
21,{},ya,Yanktonai,,,47.6857,-102.12,1
22,{},st,Stoney,,,51.1939,-114.984,1
23,{},sv,Sioux Valley,,,,,1
24,{},ch,Chiwere,,,40.0511,-95.5213,1
25,{},mo,Missouria,,,40.05,-95.52,1
26,{},ot,Otoe,,,40.0511,-95.5213,1
27,{},wi,Hoocąk,,,43.5,-88.5,1
28,{},om,Omaha,,,42.0944,-96.5295,1
29,{},op,Omaha-Ponca,,,43.5,-96.6,1
30,{},pn,Ponca,,,42.75,-98.03,1
31,{},ks,Kanza/Kaw,,,36.8044,-96.8571,1
32,{},os,Osage,,,36.7828,-96.2949,1
33,{},qu,Quapaw,,,36.9471,-94.6634,1
34,{},bi,Biloxi,,,31.32,-89.1951,1
35,{},of,Ofo,,,30.43,-91.75,1
36,{},tu,Tutelo,,,37.67,-78.75,1
37,{},sp,Saponi,,,37.67,-78.75,1
